|,emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
,Galerius,galerius9,AE,Follis,296,297,Rome,7th,null,9.83,27.4mm,6H,MAXIMIANVS NOB CAES,GENIO POPV-LI ROMANI,,,R/-//Z,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand",RIC VI Rome 67b,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,
,Diocletian,diocletian6,AE,Follis,296,303,London,null,null,10.40,28.0mm,6H,IMP C DIOCLETIANVS P F AVG,GENIO POPV–LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 6a, Cloke & Toone 2.01.003",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 130, Ex. James Pickering Romano-Britannic Collection, Ex. York Coins",G8HQ,yes
,Diocletian,diocletian7,AE,Follis,296,303,London,null,null,9.49,26.0mm,6H,IMP C DIOCLETIANVS P F AVG,GENIO POPV–LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 6a, Cloke & Toone 2.01.003",,,"Ex. CNG Electronic Auction 456, Lot 488",,yes
,Maximian,maximian5,AE,Follis,296,303,London,null,null,9.72,28.0mm,6H,IMP C MAXIMIANVS  P F AVG,GENIO POPV–LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 6b, Cloke & Toone 2.01.007",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 132, Ex. James Pickering Romano-Britannic Collection, Ex. York Coins",EF8F,yes
,Constantius I Chlorus,constantiusi11,AE,Follis,296,303,London,null,null,7.99,26.5mm,6H,FL VAL CONSTANTIVS NOB C,GENIO POPV-LI ROMANI,,,-/-//-,"Bust of Constantius Chlorus, laureate, cuirassed, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","RIC VI Londinium 14a, Cloke & Toone 2.01.010",,,"Ex. FSR Auction 110, Lot 317",,
,Constantius I Chlorus,constantiusi4,AE,Follis,296,303,London,null,null,10.22,28.0mm,6H,FL VAL CONSTANTIVS NOB C,GENIO POPV-LI ROMANI,,,-/-//-,"Bust of Constantius Chlorus, laureate, cuirassed, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","RIC VI Londinium 14a, Cloke & Toone 2.01.010",,,"Ex. Roma Numismatics E-Live Auction 2, Lot 1028",F5M4,yes
,Galerius,galerius5,AE,Follis,296,303,London,null,null,9.58,28.0mm,12H,MAXIMIANVS NOB CAES,GENIO POPV–LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 15, Cloke & Toone 2.01.015",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 138, Ex. James Pickering Romano-Britannic Collection, Ex. Roman Lode Ancient Coins",LNWM,yes
,Diocletian,diocletian4,AE,Follis,297,297,Antioch,7th,null,11.00,27.0mm,6H,IMP C DIOCLETIANVS PF AVG,GENIO POPVLI ROMANI,,,-/(crescent) over Z//ANT,"Head of Diocletian, laureate, right","Genius standing left, holding patera from which liquid flows, and cornucopiae, crescent over officina letter to left",RIC VI Antioch 48a,,,Ex. Shick Coins 2018,9XR9,yes
,Constantius I Chlorus,constantiusi7,AE,Follis,297,298,Alexandria,3rd,null,10.40,27.0mm,6H,FL VAL CONSTANTIVS NOB CAES,GENIO POPV-L-I ROMANI,,,-/Γ//ALE,"Head of Constantius Chlorus, laureate, right; ties divergent","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Alexandria 27a,Tetrarchy Mints,,Ex. Incitatus Coins 2019,,
,Galerius,galerius7,AE,Follis,298,298,Carthage,4th,null,8.24,28.0mm,6H,MAXIMIANVS NOB CAES,FELIX A-DV-ENT AVGG NN,,,-/I//PKΔ,"Head of Galerius, laureate, right","Africa, wearing elephant-skin head-dress, draped, standing front, head left, holding standard in right hand and tusk in left hand; to left, lion with captured bull",RIC VI Carthage 26b,Tetrarchy Mints,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 204",,yes
,Maximian,maximian9,AE,Follis,298,298,Antioch,6th,null,8.75,27.0mm,6H,IMP C M A MAXIMIANVS P F AVG,GENIO POPV-L-I ROMANI,,,(✱ on ✱)/(crescent on ς)//ANT,"Head of Maximian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 50b,,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 211",,yes
,Constantius I Chlorus,constantiusi2,AE,Follis,298,299,Carthage,3rd,null,8.21,28.0mm,6H,CONSTANTIVS NOB CAES,SALVIS AVGG ET CAESS AVCTA KART,,,-/-//Γ,"Head of Constantius Chlorus, laureate, right","Carthage, wearing long robe, standing front, head left, holding fruits in both hands",RIC VI Carthage 28a,,,Ex. Budgies-Beak eBay 2017,U2ET,yes
,Diocletian,diocletian,AE,Follis,299,300,Antioch,1st,null,11.71,27.0mm,6H,IMP C DIOCLETIANVS P F AVG,GENIO POPV-LI ROMANI,,,-/A//ANT,"Head of Diocletian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 52a,,,"Ex. Wayne Miller, 1991, Valentinian (Warren) 2017",TDXF,yes
,Constantius I Chlorus,constantiusi12,AE,Follis,299,303,Carthage,null,null,9.75,28.5mm,12H,CONSTANTIVS NOB CAES,SALVIS AVGG ET CAESS FEL KART,,,-/-//Γ,"Head of Constantius Chlorus, laureate, right","Carthage, wearing long robe, standing front, head left, holding fruits in both hands",RIC VI Carthage 32a,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,yes
,Constantius I Chlorus,constantiusi5,AE,Follis,300,301,Antioch,2nd,null,9.57,25.0mm,12H,FL VAL CONSTANTIVS NOB CAES,GENIO POPV-LI ROMANI,,,K/(B on V)//ANT,"Head of Constantius Chlorus, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 55a,,,"Ex. Savoca Blue 10th Auction, Lot 1878",QJQ6,yes
,Constantius I Chlorus,constantiusi9,AE,Follis,300,301,Antioch,10th,null,9.13,27.9mm,12H,FL VAL CONSTANTIVS NOB CAES,GENIO POPV-LI ROMANI,,,K/(I on V)//ANT,"Head of Constantius Chlorus, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 55a,,,Ex. Forum Ancient Coins 2019,,yes
,Galerius,galerius11,AE,Follis,300,301,Treveri,2nd,null,6.89,29.0mm,7H,MAXIMIANVS NOB CAES,MONETA SACRA AV-GG ET CAESS NN,,,-/✱//BTR,Laureate and cuirassed bust of Galerius to right,"Moneta standing front, head to left, holding scales in her right hand and cornucopiae in her left",RIC VI Treveri 433b,,,"Ex. Leu Numismatik Web Auction 10, Lot 1555, Ex. Tetrarchy Collection",,yes
,Galerius,galerius,AE,Follis,301,301,Alexandria,2nd,null,10.01,25.5mm,12H,GAL VAL MAXIMIANVS NOB CAES,GENIO POPV-LI ROMANI,,,XX/(B on I)//ALE,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and holding cornucopiae in left hand; liquid sometimes flowing from patera",RIC VI Alexandria 33b,,,Ex. FSR Coin Bargain Bin 2017,AEL4,yes
,Maximian,maximian10,AE,Follis,302,303,Antioch,2nd,null,10.87,29.0mm,6H,IMP C M A MAXIMIANVS P F AVG,GENIO POPV-LI ROMANI,,,-/B//ANT✱,"Head of Maximian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 56b,,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 213",,yes
,Galerius,galerius8,AE,Follis,302,303,Antioch,7th,null,10.03,29.0mm,6H,GAL VAL MAXIMIANVS NOB CAES,GENIO POPV-LI ROMANI,,,-/Z//ANT✱,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 57b,Tetrarchy Mints,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 214",,yes
,Constantius I Chlorus,constantiusi10,AE,Follis,303,305,Rome,null,null,9.29,30.3mm,6H,CONSTANTIVS NOB CAES,SAC MON VRB AVGG ET CAESS NN,,,-/-//R(crescent)T,"Head of Constantius Chlorus, laureate, right","Moneta, draped, standing left, holding scales in right hand and cornucopiae in left hand",RIC VI Rome 112a,Tetrarchy Mints,,Ex. Forum Ancient Coins 2019,,yes
,Constantius I Chlorus,constantiusi6,AE,Follis,303,306,London,null,null,9.24,26.5mm,7H,CONSTANTIVS NOB C,GENIO POPV–LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 37a, Cloke & Toone 3.01.024",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 143, Ex. James Pickering Romano-Britannic Collection, Ex. CNG Coins",PW9E,yes
,Maximian,maximian2,AE,Follis,304,305,Antioch,6th,null,9.20,28.0mm,12H,IMP C M A MAXIMIANVS P F AVG,GENIO POPV-LI ROMANI,,,-/ς//ANT•,"Head of Maximian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 58b,,,"Ex. Solidus Numismatik Online Auction 21, Lot 600",ZZVN,yes
,Maximinus II Daia,maximinusii5,AE,Follis,305,305,Rome,4th,null,10.61,28.0mm,6H,MAXIMINVS NOB CAES,SAC MON VRB AVGG ET CAESS NN,,,-/✱//RQ,"Head of Maximinus Daia, laureate, right","Moneta, draped, standing left, holding scales in right hand and cornucopiae in left hand",RIC VI Rome 123b,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,
,Maximian,maximian1,AE,Follis,305,306,Heraclea,3rd,null,8.25,27.5mm,6H,DN MAXIMIANO BAEATISSIMO SEN AVG,PROVIDENTIA DEORVM QVIES AVGG,,,-/-//HTA,"Bust of Maximian, laureate, wearing imperial mantle, right, holding olive branch in right hand and mappa in left hand","Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in left field, S; in right field, F",RIC VI Heraclea 27b,Post-Abdication Folles,,"Ex. Frank S. Robinson, Auction 101 Lot 398",VAZA,yes
,Diocletian,diocletian3,AE,Follis,305,306,Serdica,3rd,null,9.89,27.0mm,6H,D N DIOCLETIANO FELICISSIMO SEN AVG,PROVIDENTIA DEORVM QVIES AVGG,,,-/Γ//•SM•SD•,"Bust of Diocletian, laureate, wearing imperial mantle, right, holding olive branch in right hand and mappa in left hand","Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in left field, S; in right field, F next to officina letter",RIC VI Serdica 15a,Post-Abdication Folles,,"Ex. CNG Coins Electronic Auction 422, Lot 601",SPLA,
,Maximinus II Daia,maximinusii2,AE,Follis,305,306,Nicomedia,2nd,null,9.14,27.0mm,6H,GAL VAL MAXIMINVS NOB CAES,GENIO POPVLI ROMANI,,,-/-//SMNB,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Nicomedia 40,,,"Ex. Savoca 5th Blue Auction, Lot 1476",YV55,yes
,Constantius I Chlorus,constantiusi1,AE,Follis,305,306,London,3rd,null,9.63,28.5mm,6H,IMP CONSTANTIVS P F AVG,GENIO POPV-LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing left, holding patera and cornucopia","RIC VI Londinium 52a, Cloke & Toone 4.02.010",,,"Ex. CNG Electronic Auction 457, Lot 456, Ex. Northwest Collection",,
,Maximian,maximian6,AE,Follis,305,307,London,null,null,9.15,29.0mm,6H,D N MAXIMIANO BAEATISSIMO SEN AVG,PROVIDENTIA DEORVM QVIESS AVGG,,,-/-//-,Laureate bust in Imperial mantle holding mappa in right hand and olive branch in left hand,"Providentia standing left, and extending hand to personification of Quies, standing right, holding olive branch and leaning on sceptre","RIC VI Londinium 76b, Cloke & Toone 4.01.003 (R)",Post-Abdication Folles,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 147, Ex. James Pickering Romano-Britannic Collection",29WE,yes
,Maximian,maximian11,AE,Follis,305,307,London,null,null,7.81,27.0mm,6H,D N MAXIMIANO FELICISSIMO SEN AVG,PROVIDENTIA DEORVM QVIESS AVGG,,,-/-//-,"Laureate bust right, wearing trabea and holding olive branch and mappa","Providentia and Quies standing facing one another, the latter holding branch and scepter set on ground","RIC VI Londinium 77b, Cloke & Toone 4.01.004",Post-Abdication Folles,,"Ex. CNG Electronic Auction 457, Lot 442, Ex. Northwest Collection",,yes
,Constantine the Great,constantinei37,AE,Follis,306,307,Antioch,null,null,10.40,26.0mm,6H,FL VAL CONSTANTINVS NOB CAES,GENIO POPV-LI ROMANI,,,-/A//ANT:,Laureate head right,"Genius standing left, modius on head, naked but for chlamys over left shoulder, liquors flowing from patera in right hand, cornucopiae in left",Not in RIC,,,Ex. Budgies-Beak eBay 2019,,yes
,Galerius,galerius3,AE,Follis,307,307,Heraclea,3rd,null,8.62,27.0mm,12H,IMP C GAL VAL MAXIMIANVS P F AVG,GENIO POPV-L-I ROMANI,,,-/-//HTΓ,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Heraclea 33,,,Ex. Harlan J. Berk 2018,Y994,
,Maximian,maximian7,AE,Follis,307,310,London,null,null,6.81,26.5mm,12H,D N MAXIMIANO P F S AVG,GENIO POP ROM,,,-/-//PLN,Laureate and cuirassed bust right,"Genius standing left, wearing intermediate modius/towered crown, holding patera in right hand, cornucopia in left","RIC VI Londinium 85/90, Cloke & Toone 5.04.001",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 152, Ex. James Pickering Romano-Britannic Collection",97LH,yes
,Galerius,galerius6,AE,Follis,308,308,Alexandria,1st,null,6.81,24.0mm,12H,IMP C GAL VAL MAXIMIANVS P F AVG,GENIO IMPE-RATORIS,,,P/(A over R)//ALE,Laureate head right,"Genius standing left, holding patera in right hand with liquid flowing from it, cornucopia in left",RIC VI Alexandria 72,,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 265, Ex. Severus Alexander Collection, Ex. Dattari Collection",N66S,
,Constantine the Great,constantinei53,AE,Follis,309,310,Alexandria,1st,null,6.77,24.5mm,6H,FL VAL CONSTANTINVS FIL AVG,GENIO CA-ESARIS,,,K/(A over P)//ALE,Laureate head right,"Genius standing left, holding patera and cornucopia",RIC VI Alexandria 99b,,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 163, Ex. James Pickering Romano-Britannic Collection",UNNY,yes
,Constantine the Great,constantinei59,AE,Follis,309,310,Lugdunum,1st,null,5.16,26.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,F/T//PLC,"Bust of Constantine I, laureate, draped, right, seen from behind","Sol, nude, standing front, head left, raising right hand and holding globe in left hand",RIC VI Lugdunum 307,Constantine Sol Mint Set,,Ex. York Coins 2019,,yes
,Constantine the Great,constantinei35,AE,Follis,309,311,London,null,null,4.65,22.80mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,T/F//PLN,Laureate and cuirassed bust right,"Sol, chlamys falling from left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 121a, Cloke & Toone 6.02.010",,,"Ex. MRBCoins 2019, Ex. Little Ormes Head Hoard (1873)",,yes
,Constantine the Great,constantinei45,AE,Follis,310,310,London,null,null,4.70,23.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-CTO COMITI,,,T/F//PLN,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys falling from left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 122, Cloke & Toone 6.02.011",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 153, Ex. James Pickering Romano-Britannic Collection, Ex. York Coins",HDFW,yes
,Galeria Valeria,galeria1,AE,Follis,310,310,Alexandria,3rd,null,7.44,24.6mm,12H,GAL VAL-ERIA AVG,VENERI V-ICTRICI,,,(✱ on K)/(Γ on P)//ALE,"Bust of Galeria Valeria, diademed, draped, right","Venus, draped, standing front, head left, holding up apple with right hand, raising drapery over left shoulder with left hand",RIC VI Alexandria 122,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,yes
,Maximinus II Daia,maximinusii6,AE,Follis,310,311,Antioch,null,null,7.04,22.6mm,12H,IMP C GAL VAL MAXIMINVS P F AVG,GENIO EX-ERCITVS,,,(crescent on altar)/∈//ANT,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 147c,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,
,Constantine the Great,constantinei3,AE,Follis,310,313,Treveri,1st,null,3.88,23.0mm,6H,CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,T/F//PTR,"Bust of Constantine I, laureate, cuirassed, right","Sol, chlamys draped over left shoulder, standing left (or standing front, head left), raising right hand and holding globe in left hand",RIC VI Treveri 873,Constantine Sol Mint Set,,"Ex. Frank S. Robinson, Auction 101 Lot 410",ST6D,yes
